decade,province,count
1870,Shanghai,1
1880,Jiangsu,2
1890,Anhui,1
1890,Hebei,2
1890,Hubei,2
1890,Shaanxi,1
1890,Shandong,1
1890,Sichuan,1
1890,Zhejiang,2
1900,Chongqing,2
1900,Fujian,1
1900,Gansu,2
1900,Guangdong,2
1900,Guizhou,1
1900,Hebei,3
1900,Henan,3
1900,Hong Kong,1
1900,Hubei,2
1900,Hunan,2
1900,Jiangsu,12
1900,Jiangxi,3
1900,Jilin,1
1900,Liaoning,2
1900,Shaanxi,1
1900,Shandong,2
1900,Shanghai,2
1900,Shanxi,3
1900,Sichuan,1
1900,Zhejiang,1
1910,Beijing,1
1910,Gansu,1
1910,Guangdong,1
1910,Henan,2
1910,Hong Kong,1
1910,Hubei,1
1910,Hunan,1
1910,Jiangsu,4
1910,Liaoning,1
1910,Shaanxi,1
1910,Sichuan,1
1910,Zhejiang,1
1920,Anhui,3
1920,Beijing,1
1920,Fujian,1
1920,Guangdong,4
1920,Guangxi,1
1920,Hebei,2
1920,Heilongjiang,3
1920,Henan,2
1920,Hubei,2
1920,Jiangsu,1
1920,Jiangxi,2
1920,Liaoning,1
1920,Shaanxi,1
1920,Sichuan,1
1920,Xinjiang,1
1920,Yunnan,1
1930,Fujian,1
1930,Guangdong,2
1930,Guangxi,2
1930,Guizhou,1
1930,Hubei,1
1930,Hunan,3
1930,Jiangsu,4
1930,Liaoning,3
1930,Shaanxi,4
1930,Shandong,1
1930,Sichuan,1
1930,Yunnan,2
1940,Anhui,2
1940,Beijing,8
1940,Fujian,1
1940,Gansu,1
1940,Guangxi,1
1940,Guizhou,3
1940,Hainan,1
1940,Heilongjiang,5
1940,Hubei,3
1940,Hunan,1
1940,Jiangsu,2
1940,Jiangxi,2
1940,Jilin,6
1940,Liaoning,10
1940,Qinghai,1
1940,Shaanxi,2
1940,Shandong,4
1940,Shanxi,2
1940,Sichuan,3
1940,Xinjiang,1
1950,Anhui,6
1950,Beijing,18
1950,Chongqing,1
1950,Fujian,5
1950,Gansu,3
1950,Guangdong,7
1950,Guangxi,3
1950,Guizhou,2
1950,Hebei,7
1950,Heilongjiang,8
1950,Henan,8
1950,Hubei,10
1950,Hunan,9
1950,Inner Mongolia,5
1950,Jiangsu,10
1950,Jiangxi,6
1950,Jilin,4
1950,Liaoning,11
1950,Ningxia,1
1950,Qinghai,2
1950,Shaanxi,9
1950,Shandong,13
1950,Shanghai,3
1950,Shanxi,5
1950,Sichuan,10
1950,Tianjin,1
1950,Xinjiang,4
1950,Yunnan,4
1950,Zhejiang,7
1960,Beijing,4
1960,Fujian,1
1960,Guangdong,1
1960,Guangxi,1
1960,Guizhou,1
1960,Hong Kong,2
1960,Hubei,2
1960,Inner Mongolia,1
1960,Jiangsu,1
1960,Liaoning,1
1960,Sichuan,2
1960,Xinjiang,1
1960,Yunnan,1
1970,Anhui,5
1970,Beijing,3
1970,Guangdong,1
1970,Hainan,1
1970,Hebei,1
1970,Henan,4
1970,Hong Kong,1
1970,Hubei,3
1970,Hunan,7
1970,Jiangxi,1
1970,Liaoning,1
1970,Shandong,2
1970,Sichuan,3
1970,Tianjin,1
1970,Xinjiang,1
1970,Yunnan,2
1970,Zhejiang,5
1980,Anhui,2
1980,Beijing,2
1980,Fujian,2
1980,Guangdong,4
1980,Hainan,1
1980,Hebei,2
1980,Henan,3
1980,Hong Kong,2
1980,Hunan,1
1980,Jiangsu,3
1980,Liaoning,2
1980,Ningxia,1
1980,Shandong,2
1980,Shanxi,1
1980,Sichuan,2
1980,Tianjin,2
1980,Tibet Autonomous Region,1
1980,Yunnan,1
1980,Zhejiang,5
1990,Beijing,2
1990,Fujian,1
1990,Guangdong,8
1990,Hebei,1
1990,Henan,3
1990,Hong Kong,1
1990,Hunan,1
1990,Jiangsu,4
1990,Jiangxi,1
1990,Jilin,2
1990,Liaoning,2
1990,Shaanxi,3
1990,Shandong,1
1990,Shanxi,1
1990,Sichuan,1
1990,Zhejiang,2
2000,Anhui,1
2000,Fujian,5
2000,Gansu,1
2000,Guangdong,3
2000,Guangxi,2
2000,Hainan,1
2000,Hebei,3
2000,Henan,1
2000,Hong Kong,2
2000,Hubei,5
2000,Hunan,3
2000,Inner Mongolia,1
2000,Jiangsu,3
2000,Jiangxi,2
2000,Liaoning,1
2000,Shaanxi,3
2000,Shandong,2
2000,Shanghai,1
2000,Shanxi,1
2000,Sichuan,1
2000,Xinjiang,1
2000,Yunnan,1
2000,Zhejiang,4
2010,Guangdong,3
2010,Heilongjiang,1
2010,Hong Kong,1
2010,Jiangsu,1
2010,Shaanxi,1
2010,Shandong,1
2010,Shanghai,1
2010,Zhejiang,3
2020,Anhui,1
2020,Fujian,1
2020,Guangdong,4
2020,Henan,1
2020,Shandong,1
2020,Zhejiang,1
