univ,name,univLabel_en,univLabel_zh,inceptionYear,decade,longitude,latitude,province,macro_region
http://www.wikidata.org/entity/Q100998778,Taizhou University,Taizhou University,,,,,,,
http://www.wikidata.org/entity/Q1018771,Dalian Naval Academy,Dalian Naval Academy,中国人民解放军海军大连舰艇学院,1949.0,1940,121.66288889,38.8785,Liaoning,Northeast
http://www.wikidata.org/entity/Q1022929,Hubei University,Hubei University,湖北大学,1931.0,1930,114.3175,30.5605,Hubei,Central
http://www.wikidata.org/entity/Q10267326,Shandong University of Technology,Shandong University of Technology,山东工业大学,1949.0,1940,,,,
http://www.wikidata.org/entity/Q1027478,Dalian University of Foreign Languages,Dalian University of Foreign Languages,大连外国语大学,1964.0,1960,,,Liaoning,Northeast
http://www.wikidata.org/entity/Q10379501,College of Military Culture at the PLA National Defense University,College of Military Culture at the PLA National Defense University,中国人民解放军国防大学军事文化学院,1960.0,1960,116.325,39.9559,,
http://www.wikidata.org/entity/Q1039400,Beijing University of Chinese Medicine,Beijing University of Chinese Medicine,北京中医药大学,1956.0,1950,116.42213,39.96985,Beijing,North
http://www.wikidata.org/entity/Q1041978,North University of China,North University of China,中北大学,1941.0,1940,,,Shanxi,North
http://www.wikidata.org/entity/Q10557501,郑州工业大学,,郑州工业大学,,,,,,
http://www.wikidata.org/entity/Q10567152,黃埔海軍學校,,黃埔海軍學校,1887.0,1880,,,Jiangsu,East
http://www.wikidata.org/entity/Q1058956,Heilongjiang University,Heilongjiang University,黑龙江大学,1941.0,1940,126.616944444,45.706944444,Heilongjiang,Northeast
http://www.wikidata.org/entity/Q106474418,Jiangxi Institute of Fashion Technology,Jiangxi Institute of Fashion Technology,江西服装学院,,,,,Jiangxi,East
http://www.wikidata.org/entity/Q1073795,Chinesisch-Deutsches Hochschulkolleg,Chinesisch-Deutsches Hochschulkolleg,,1998.0,1990,,,,
http://www.wikidata.org/entity/Q1074015,Ocean University of China,Ocean University of China,中国海洋大学,1924.0,1920,120.3325,36.065,,
http://www.wikidata.org/entity/Q1074084,China University of Mining and Technology,China University of Mining and Technology,中国矿业大学,1909.0,1900,116.349722,39.996667,Jiangsu,East
http://www.wikidata.org/entity/Q1074097,China University of Geosciences,China University of Geosciences,中国地质大学,1952.0,1950,,,Hubei,Central
http://www.wikidata.org/entity/Q1074103,University of Science and Technology of China,University of Science and Technology of China,中国科学技术大学,1958.0,1950,117.258888888,31.841666666,Anhui,East
http://www.wikidata.org/entity/Q1074117,Renmin University of China,Renmin University of China,中国人民大学,1937.0,1930,116.317777777,39.970277777,,
http://www.wikidata.org/entity/Q1074308,Dalian Minzu University,Dalian Minzu University,大连民族大学,1997.0,1990,121.771389,39.046389,Liaoning,Northeast
