univ,univLabel_en,univLabel_zh,inceptionYear,coord,cityLabel,provinceLabel
http://www.wikidata.org/entity/Q4495765,,哈尔滨法学院,1920,Point(126.6294111 45.74843611),Harbin,Heilongjiang
http://www.wikidata.org/entity/Q11074673,,四川传媒学院,1997,Point(103.98292 30.82609),Chengdu,Sichuan
http://www.wikidata.org/entity/Q10567152,,黃埔海軍學校,1887,,Changzhou Island,Changzhou Subdistrict
http://www.wikidata.org/entity/Q65583468,,陕西老年大学,,Point(108.936910819 34.260281353),Beilin District,Xi'an
http://www.wikidata.org/entity/Q115203157,,中国人民解放军陆军边海防学院昆明校区,,Point(102.789698 24.997333),Kunming,Yunnan
http://www.wikidata.org/entity/Q130640081,,,,Point(118.601084 35.738653),Yishui County,Linyi
http://www.wikidata.org/entity/Q130640114,,,,Point(117.965191 35.276633),Fei County,Linyi
http://www.wikidata.org/entity/Q10557501,,郑州工业大学,,,,
http://www.wikidata.org/entity/Q10872983,,中国人民解放军成都军区昆明民族干部学院,1949,,,
http://www.wikidata.org/entity/Q10872999,,中国人民解放军海军指挥学院,1952,,,
http://www.wikidata.org/entity/Q15931204,,北京农业机械化学院,1952,Point(116.356436 40.001427),,
http://www.wikidata.org/entity/Q15944731,,西安医科大学,1956,,,
http://www.wikidata.org/entity/Q17038820,,湖北建筑工业学院,,,,
http://www.wikidata.org/entity/Q48900237,,公安消防部队士官学校,,,,
http://www.wikidata.org/entity/Q55697406,,北海艺术设计学院,,,,
http://www.wikidata.org/entity/Q56272547,,清华大学四川绵阳分校,1965,,,
http://www.wikidata.org/entity/Q114368512,,泉州大学,,,,
http://www.wikidata.org/entity/Q10873029,Air Force Communication NCO Academy,中国人民解放军空军大连通信士官学校,1986,Point(121.738 39.0664),Dalian,Liaoning
http://www.wikidata.org/entity/Q10873032,Air Force Engineering University,中国人民解放军空军工程大学,1999,Point(109.036171 34.273779),Xi'an,Shaanxi
http://www.wikidata.org/entity/Q5476138,Air Force Medical University,中国人民解放军空军军医大学,1954,,Xi'an,Shaanxi
http://www.wikidata.org/entity/Q4764374,Anhui Agricultural University,安徽农业大学,1928,,Hefei,Anhui
http://www.wikidata.org/entity/Q10946795,Anhui Jianzhu University,安徽建筑大学,1958,Point(117.22368 31.74404),Hefei,Anhui
http://www.wikidata.org/entity/Q4764372,Anhui Medical University,安徽医科大学,1926,Point(117.263 31.8486),Hefei,Anhui
http://www.wikidata.org/entity/Q614203,Anhui Normal University,安徽师范大学,1972,Point(118.372994 31.2871219),Wuhu,Anhui
http://www.wikidata.org/entity/Q4764381,Anhui Polytechnic University,安徽工程大学,1977,,Wuhu,Anhui
http://www.wikidata.org/entity/Q545540,Anhui University,安徽大学,1928,Point(117.251596 31.845516),Hefei,Anhui
http://www.wikidata.org/entity/Q4764385,Anhui University of Chinese Medicine,安徽中医药大学,1959,,Hefei,Anhui
http://www.wikidata.org/entity/Q4764380,Anhui University of Finance and Economics,安徽财经大学,1959,Point(117.39 32.9255),Bengbu,Anhui
http://www.wikidata.org/entity/Q4764383,Anhui University of Science and Technology,安徽理工大学,1945,,Huainan,Anhui
http://www.wikidata.org/entity/Q2040973,Anhui University of Technology,安徽工业大学,1958,,Hefei,Anhui
http://www.wikidata.org/entity/Q15964716,Ankang University,安康学院,,,Ankang,Shaanxi
http://www.wikidata.org/entity/Q4770460,Anqing Normal University,安庆师范大学,1898,Point(117.04805556 30.51416667),Anqing,Anhui
http://www.wikidata.org/entity/Q4770656,Anshan Normal University,鞍山师范学院,1958,Point(122.99 41.08472222),Anshan,Liaoning
http://www.wikidata.org/entity/Q4770656,Anshan Normal University,鞍山师范学院,1978,Point(122.99 41.08472222),Anshan,Liaoning
http://www.wikidata.org/entity/Q10947284,Anyang Institute of Technology,安阳工学院,1983,,Anyang,Henan
http://www.wikidata.org/entity/Q10947285,Anyang Normal University,安阳师范学院,1908,,Anyang,Henan
http://www.wikidata.org/entity/Q10872957,Army Infantry College of PLA,中国人民解放军南昌陆军学院,1955,Point(115.78023 28.673454),,
http://www.wikidata.org/entity/Q7784898,Army Medical University,中国人民解放军陆军军医大学,1954,Point(106.44666667 29.53722222),Chongqing,People's Republic of China
http://www.wikidata.org/entity/Q10872935,Army Military Transportation University,中国人民解放军军事交通学院,1973,Point(117.25664 39.132326),Tianjin,People's Republic of China
http://www.wikidata.org/entity/Q126960101,Army Special Operations Academy,中国人民解放军陆军特种作战学院,,Point(110.282548 25.243538),,
http://www.wikidata.org/entity/Q777323,Aurora University,震旦大学,1903,Point(121.4433 31.1419),Shanghai,People's Republic of China
http://www.wikidata.org/entity/Q20743752,Baoji University of Arts and Sciences,宝鸡文理学院,1958,,Baoji,Shaanxi
http://www.wikidata.org/entity/Q2299797,Beihang University,北京航空航天大学,1952,Point(116.340833333 39.98),Beijing,People's Republic of China
http://www.wikidata.org/entity/Q10902560,Beihua University,北华大学,1906,,Jilin City,Jilin
http://www.wikidata.org/entity/Q17499545,Beijing Agricultural University,北京农业大学,1949,Point(116.281614303 40.026836368),Beijing,People's Republic of China
http://www.wikidata.org/entity/Q10902145,Beijing City University,北京城市学院,1984,Point(116.2523 40.0903),Beijing,People's Republic of China
http://www.wikidata.org/entity/Q4881127,Beijing Electronic Science and Technology Institute,北京电子科技学院,1947,Point(116.27373 39.83536),Kandan Subdistrict,Fengtai District
http://www.wikidata.org/entity/Q138182,Beijing Film Academy,北京电影学院,1928,Point(116.3532808 39.9717416),Beijing,People's Republic of China
http://www.wikidata.org/entity/Q1144682,Beijing Foreign Studies University,北京外国语大学,1941,Point(116.304166666 39.954166666),Zizhuyuan Subdistrict,Haidian District
http://www.wikidata.org/entity/Q4881133,Beijing Forestry University,北京林业大学,1952,Point(116.34527778 40.00138889),Xueyuanlu Subdistrict,Haidian District
http://www.wikidata.org/entity/Q4881135,Beijing Huajia University,,1985,Point(116.734196 39.935071),Beijing,People's Republic of China
http://www.wikidata.org/entity/Q957715,Beijing Information Science & Technology University,北京信息科技大学,1915,Point(116.34027778 40.03722222),Beijing,People's Republic of China
http://www.wikidata.org/entity/Q10902330,Beijing Institute of Fashion Technology,北京服装学院,1959,Point(116.42474 39.97272),Hepingjie Subdistrict,Chaoyang District
http://www.wikidata.org/entity/Q129077719,Beijing Institute of Mathematical Sciences and Applications,,,,,
http://www.wikidata.org/entity/Q4881146,Beijing Institute of Petrochemical Technology,北京石油化工学院,1978,Point(116.31959 39.74596),Qingyuan Subdistrict,Daxing District
http://www.wikidata.org/entity/Q23101,Beijing Institute of Technology,北京理工大学,1940,Point(116.308333333 39.957777777),Zizhuyuan Subdistrict,Haidian District
http://www.wikidata.org/entity/Q233300,Beijing International Studies University,北京第二外国语学院,1964,Point(116.557699 39.909286),Sanjianfang,Chaoyang District
http://www.wikidata.org/entity/Q4587760,Beijing Jiaotong University,北京交通大学,1896,Point(116.33935 39.950945),Beijing,People's Republic of China
http://www.wikidata.org/entity/Q549697,Beijing Language and Culture University,北京语言大学,1962,Point(116.337777777 39.993333333),Xueyuanlu Subdistrict,Haidian District
http://www.wikidata.org/entity/Q10902198,Beijing Major Seminary,北京天主教神哲学院,1981,Point(116.3296 40.01887),Dongsheng,Haidian District
http://www.wikidata.org/entity/Q1604022,Beijing Normal University,北京师范大学,1902,Point(116.3625 39.957222222),Beijing,People's Republic of China
http://www.wikidata.org/entity/Q10902302,"Beijing Normal University,  Zhuhai",北京师范大学珠海分校,2002,,,
http://www.wikidata.org/entity/Q4881177,Beijing People's Police College,北京警察学院,1981,Point(116.172592 40.249649),,
http://www.wikidata.org/entity/Q3551745,Beijing Sport University,北京体育大学,1953,Point(116.3192935 40.0299048),Shangdi,Haidian District
http://www.wikidata.org/entity/Q4356865,Beijing Technology and Business University,北京工商大学,1950,Point(116.30847 39.9238),Fangshan District,People's Republic of China
http://www.wikidata.org/entity/Q4356865,Beijing Technology and Business University,北京工商大学,1950,Point(116.30847 39.9238),Haidian District,People's Republic of China
http://www.wikidata.org/entity/Q4356865,Beijing Technology and Business University,北京工商大学,1950,Point(116.30847 39.9238),Beijing,People's Republic of China
http://www.wikidata.org/entity/Q4356865,Beijing Technology and Business University,北京工商大学,1950,Point(116.30847 39.9238),Fangshan District,Beijing
http://www.wikidata.org/entity/Q4356865,Beijing Technology and Business University,北京工商大学,1950,Point(116.30847 39.9238),Haidian District,Beijing
http://www.wikidata.org/entity/Q4356865,Beijing Technology and Business University,北京工商大学,1950,Point(116.30847 39.9238),Beijing,Beijing
http://www.wikidata.org/entity/Q4881203,Beijing Union University,北京联合大学,1985,Point(116.42085 39.98903),Beijing,People's Republic of China
http://www.wikidata.org/entity/Q2496210,Beijing University of Chemical Technology,北京化工大学,1958,Point(116.415277777 39.968888888),Beijing,People's Republic of China
http://www.wikidata.org/entity/Q1039400,Beijing University of Chinese Medicine,北京中医药大学,1956,Point(116.42213 39.96985),Hepingjie Subdistrict,Chaoyang District
http://www.wikidata.org/entity/Q4881206,Beijing University of Civil Engineering and Architecture,北京建筑大学,1936,Point(116.336 39.934),Beijing,People's Republic of China
http://www.wikidata.org/entity/Q4881210,Beijing University of Posts and Telecommunications,北京邮电大学,1955,Point(116.352 39.9598),Beijing,People's Republic of China
http://www.wikidata.org/entity/Q1674548,Beijing University of Technology,北京工业大学,1960,Point(116.4775 39.87111111),Nanmofang,Chaoyang District
http://www.wikidata.org/entity/Q4881219,Beijing Wuzi University,北京物资学院,1980,Point(116.6388 39.929),Beijing,People's Republic of China
http://www.wikidata.org/entity/Q28410086,Bengbu University,蚌埠学院,1976,Point(117.416961111 32.891036111),Dongsheng Subdistrict,Longzihu District
http://www.wikidata.org/entity/Q4937990,Bohai University,渤海大学,1950,Point(121.1199 41.0867),Jinzhou,Liaoning
http://www.wikidata.org/entity/Q16923590,Brandon Learning Centre,,2006,Point(114.18180556 22.27713889),Hong Kong,People's Republic of China
http://www.wikidata.org/entity/Q16926382,Canton Law School (Private),私立广州法学院,1929,,Guangzhou,Guangdong
http://www.wikidata.org/entity/Q5035687,Capital Medical University,首都医科大学,1960,Point(116.3529685 39.86671),You'anmen Subdistrict,Fengtai District
http://www.wikidata.org/entity/Q3551814,Capital Normal University,首都师范大学,1954,Point(116.30027778 39.92944444),Beijing,People's Republic of China
http://www.wikidata.org/entity/Q1589630,Capital University of Economics and Business,首都经济贸易大学,1956,Point(116.310594 39.841257),Huaxiang Subdistrict,Fengtai District
http://www.wikidata.org/entity/Q15942570,Capital University of Physical Education and Sports,首都体育学院,1956,Point(116.342313888 39.966944444),Beitaipingzhuang Subdistrict,Haidian District
http://www.wikidata.org/entity/Q5053324,Catholic university in Hong Kong,,,,,
http://www.wikidata.org/entity/Q5059608,Center for Electronic Governance at UNU-IIST,,2007,Point(113.548819 22.195833),,
http://www.wikidata.org/entity/Q136126269,Central Academy for Ethnic Cadres,,1983,,,
http://www.wikidata.org/entity/Q2822274,Central Academy of Drama,中央戏剧学院,1950,Point(116.404397913 39.936204433),Beijing,People's Republic of China
http://www.wikidata.org/entity/Q837873,Central Academy of Fine Arts,中央美术学院,1950,Point(116.463138184 39.984834741),Beijing,People's Republic of China
http://www.wikidata.org/entity/Q1397589,Central China Normal University,华中师范大学,1903,Point(114.369487 30.522385),Wuhan,Hubei
http://www.wikidata.org/entity/Q2994505,Central Conservatory of Music,中央音乐学院,1950,Point(116.35417 39.9011),Jinrongjie Subdistrict,Xicheng District
http://www.wikidata.org/entity/Q10875050,Central Institute for Correctional Police,中央司法警官学院,1956,,Baoding,Hebei
http://www.wikidata.org/entity/Q5061828,Central South University,中南大学,2000,Point(112.925 28.173),Changsha,Hunan
http://www.wikidata.org/entity/Q10872553,Central South University of Forestry and Technology,中南林业科技大学,1958,Point(112.991924 28.13921),Changsha,Hunan
http://www.wikidata.org/entity/Q18384391,Central South University of Technology,中南工業大學,1952,,Changsha,Hunan
http://www.wikidata.org/entity/Q5061957,Central University of Finance and Economics,中央财经大学,1949,Point(116.341 39.959),Beijing,People's Republic of China
http://www.wikidata.org/entity/Q5071561,Chang'an University,长安大学,2000,,Xi'an,Shaanxi
http://www.wikidata.org/entity/Q17030469,Changchun Institute of Technology,长春工程学院,1951,Point(125.281496 43.851575),Changchun,Jilin
http://www.wikidata.org/entity/Q5071739,Changchun Normal University,长春师范大学,1958,Point(125.398283 43.912782),Changchun,Jilin
http://www.wikidata.org/entity/Q5071743,Changchun University,长春大学,1946,,Changchun,Jilin
http://www.wikidata.org/entity/Q11653025,Changchun University of Chinese Medicine,长春中医药大学,,Point(125.420196 43.829779),Changchun,Jilin
http://www.wikidata.org/entity/Q17499649,Changchun University of Science and Technology,长春科技大学,1951,Point(125.299836111 43.880402777),Chaoyang District,Changchun
http://www.wikidata.org/entity/Q17030460,Changchun University of Technology,长春工业大学,1952,Point(125.285808 43.831863),,
http://www.wikidata.org/entity/Q10873058,Changsha Aeronautical Vacational and Technical College,长沙航空职业技术学院,1973,Point(113.044 28.1426),,
http://www.wikidata.org/entity/Q5072115,Changsha University,长沙学院,1970,,Changsha,Hunan
http://www.wikidata.org/entity/Q5072115,Changsha University,长沙学院,1994,,Changsha,Hunan
http://www.wikidata.org/entity/Q5072117,Changsha University of Science and Technology,长沙理工大学,1956,,Changsha,Hunan
http://www.wikidata.org/entity/Q5072160,Changzhi Medical College,长治医学院,1946,,Changzhi,Shanxi
http://www.wikidata.org/entity/Q5072766,Chaohu University,巢湖学院,1977,,,Anhui
http://www.wikidata.org/entity/Q11074629,Chengdu Neusoft University,成都东软学院,2003,Point(103.59675 30.88882),Chengdu,Sichuan
http://www.wikidata.org/entity/Q11074658,"Chengdu Normal University, CDNU",成都师范学院,1955,Point(103.820575 30.676218),Chengdu,Sichuan
http://www.wikidata.org/entity/Q5091323,Chengdu Sport University,成都体育学院,1942,,Chengdu,Sichuan
http://www.wikidata.org/entity/Q22100490,Chengdu Technological University,成都工业学院,1913,Point(103.8852 30.7896),Pidu District,Sichuan
http://www.wikidata.org/entity/Q22100490,Chengdu Technological University,成都工业学院,1913,Point(103.8852 30.7896),Chengdu,Sichuan
http://www.wikidata.org/entity/Q22100490,Chengdu Technological University,成都工业学院,1913,Point(103.8852 30.7896),Pidu District,Chengdu
http://www.wikidata.org/entity/Q22100490,Chengdu Technological University,成都工业学院,1913,Point(103.8852 30.7896),Chengdu,Chengdu
http://www.wikidata.org/entity/Q11074647,Chengdu University,成都大学,1978,Point(104.188 30.6495),Chengdu,Sichuan
http://www.wikidata.org/entity/Q5091337,Chengdu University of Information Technology,成都信息工程大学,1951,Point(103.98694444 30.58444444),Chengdu,Sichuan
http://www.wikidata.org/entity/Q11074630,Chengdu University of TCM,成都中医药大学,1956,,Chengdu,Sichuan
http://www.wikidata.org/entity/Q5091338,Chengdu University of Technology,成都理工大学,1956,Point(104.136944 30.665833),Chengdu,Sichuan
http://www.wikidata.org/entity/Q24836559,Chern Institute of Mathematics,南开大学陈省身数学研究所,1985,Point(117.16336 39.10011),Nankai District,Tianjin
http://www.wikidata.org/entity/Q5097181,Chifeng University,赤峰大学,2003,,Chifeng,Inner Mongolia
http://www.wikidata.org/entity/Q257655,China Agricultural University,中国农业大学,1905,Point(116.352777777 40.0025),Beijing,People's Republic of China
http://www.wikidata.org/entity/Q30944672,China Agricultural University (Yantai),中国农业大学（烟台）,,Point(116.364177 40.011352),,
http://www.wikidata.org/entity/Q10872926,China Fire and Rescue College,中国人民武装警察部队黄金技术学校,1985,,,
http://www.wikidata.org/entity/Q2492920,China Foreign Affairs University,外交学院,1955,Point(116.339124 39.925223),Beijing,People's Republic of China
http://www.wikidata.org/entity/Q5099749,China Jiliang University,中国计量大学,1978,Point(120.364320319 30.318976988),Hangzhou,Zhejiang
http://www.wikidata.org/entity/Q5099779,China Medical University,中国医科大学,1931,Point(123.3725 41.78916667),Shenyang,Liaoning
http://www.wikidata.org/entity/Q5099853,China Pharmaceutical University,中国药科大学,1936,Point(118.77417778 32.07459444),Nanjing,Jiangsu
http://www.wikidata.org/entity/Q3431706,China Three Gorges University,三峡大学,1946,,Yichang,Hubei
http://www.wikidata.org/entity/Q1074097,China University of Geosciences,中国地质大学,1952,,Wuhan,People's Republic of China
http://www.wikidata.org/entity/Q1074097,China University of Geosciences,中国地质大学,1952,,Beijing,People's Republic of China
http://www.wikidata.org/entity/Q1074097,China University of Geosciences,中国地质大学,1952,,Wuhan,Hubei
http://www.wikidata.org/entity/Q1074097,China University of Geosciences,中国地质大学,1952,,Beijing,Hubei
http://www.wikidata.org/entity/Q48880972,"China University of Geosciences, Beijing",中国地质大学（北京）,1952,Point(116.3455 39.9888),Xueyuanlu Subdistrict,Haidian District
http://www.wikidata.org/entity/Q48880933,"China University of Geosciences, Wuhan",中国地质大学（武汉）,1952,Point(114.39451 30.52337),Guanshan Subdistrict,Hubei
